Date,Open,High,Low,Close,Adj Close,Volume
2011-05-10,49.841427,49.955715,49.522858,49.921429,44.243149,70522900
2011-05-11,49.860001,50.000000,49.320000,49.604286,43.962074,84000000
2011-05-12,49.445713,49.588570,48.895714,49.509998,43.878521,80500000
2011-05-13,49.380001,49.464287,48.621429,48.642857,43.110012,81529000
2011-05-16,48.457142,48.745716,47.514286,47.614285,42.198433,112443800
2011-05-17,47.428570,48.020000,47.247143,48.020000,42.558006,113083600
2011-05-18,48.067142,48.721428,48.000000,48.552856,43.030258,83694100
2011-05-19,48.868572,48.915714,48.381428,48.647144,43.113811,65292500
2011-05-20,48.508572,48.707142,47.860001,47.888573,42.441509,84492100
2011-05-23,47.138573,47.997143,47.060001,47.771427,42.337700,95900000
2011-05-24,47.928570,47.985714,47.334286,47.455715,42.057896,80481800
2011-05-25,47.632858,48.365715,47.549999,48.111427,42.639038,73556000
2011-05-26,47.995716,48.127144,47.775715,47.857143,42.413662,55640200
2011-05-27,47.828571,48.232857,47.758572,48.201427,42.718788,50899800
2011-05-31,48.728573,49.689999,48.714287,49.689999,44.038055,104438600
2011-06-01,49.838570,50.304287,49.235714,49.358570,43.744324,138670700
2011-06-02,49.500000,49.711430,49.185715,49.442856,43.819016,84695800
2011-06-03,49.025715,49.332859,48.858570,49.062859,43.482239,78312500
2011-06-06,49.385715,49.578571,48.258572,48.291428,42.798553,115485300
2011-06-07,48.310001,48.317142,47.414288,47.434284,42.038906,132446300
2011-06-08,47.397144,47.828571,47.235714,47.462856,42.064232,83430900
2011-06-09,47.607143,47.667141,47.250000,47.355713,41.969284,68772200
2011-06-10,47.221428,47.380001,46.501427,46.557144,41.261547,108488800
2011-06-13,46.742859,46.901428,46.438572,46.657143,41.350159,82368300
2011-06-14,47.142857,47.607143,47.044285,47.491428,42.089558,83642300
2011-06-15,47.107143,47.185715,46.411430,46.678570,41.369148,99799000
2011-06-16,46.700001,46.954285,45.475716,46.451427,41.167843,127647800
2011-06-17,46.998573,47.035713,45.622856,45.751427,40.547474,153755000
2011-06-20,45.337143,45.385715,44.357143,45.045715,39.922024,160161400
2011-06-21,45.240002,46.542858,45.028572,46.471428,41.185562,123345600
2011-06-22,46.451427,46.985714,46.054287,46.087143,40.844986,97645800
2011-06-23,45.562859,47.384285,45.445713,47.318573,41.936356,139939800
2011-06-24,47.338570,47.592857,46.441429,46.621429,41.318512,109951800
2011-06-27,46.798573,47.700001,46.750000,47.434284,42.038906,84953400
2011-06-28,47.664288,48.099998,47.634285,47.894287,42.446594,73574900
2011-06-29,48.005714,48.052856,47.411430,47.720001,42.292126,88136300
2011-06-30,47.814285,48.018570,47.548573,47.952858,42.498489,80738700
2011-07-01,47.992859,49.071430,47.742859,49.037144,43.459450,108828300
2011-07-05,49.000000,49.975716,48.928570,49.918571,44.240623,88763500
2011-07-06,49.849998,50.585712,49.529999,50.251427,44.535614,111156500
2011-07-07,50.667141,51.142857,50.571430,51.028572,45.224377,99915900
2011-07-08,50.477142,51.428570,50.314285,51.387142,45.542156,122408300
2011-07-11,50.905716,51.395714,50.402859,50.571430,44.819225,110668600
2011-07-12,50.504284,51.097141,49.802856,50.535713,44.787567,112902300
2011-07-13,51.189999,51.428570,50.911430,51.145714,45.328190,97909700
2011-07-14,51.572857,51.658573,50.905716,51.110001,45.296535,107633400
2011-07-15,51.595715,52.142857,51.310001,52.131428,46.201782,121116800
2011-07-18,52.204285,53.521427,52.182858,53.400002,47.326054,143163300
2011-07-19,54.000000,54.092857,53.331429,53.835712,47.712215,204786400
2011-07-20,56.588570,56.610001,55.142857,55.271427,48.984619,235335100
2011-07-21,55.278572,55.722858,54.842857,55.327145,49.033997,131633600
2011-07-22,55.474285,56.435715,55.392857,56.185715,49.794910,129182200
2011-07-25,55.764286,57.142857,55.660000,56.928570,50.453281,147451500
2011-07-26,57.142857,57.785713,57.097141,57.630001,51.074917,119145600
2011-07-27,57.227142,57.520000,56.021427,56.084286,49.705017,164831100
2011-07-28,55.945713,56.712856,55.447144,55.974285,49.607533,148508500
2011-07-29,55.377144,56.450001,54.857143,55.782856,49.437874,158146100
2011-08-01,56.825714,57.071430,56.052856,56.678570,50.231712,153209000
2011-08-02,56.807144,56.842857,55.478573,55.558571,49.239101,159884900
2011-08-03,55.854286,56.221428,54.605713,56.081429,49.702484,183127000
2011-08-04,55.630001,55.902859,53.907143,53.910000,47.778042,217851900
2011-08-05,54.348572,54.785713,51.795715,53.374287,47.303272,301147700
2011-08-08,51.669998,52.538570,50.431427,50.458572,44.719208,285958400
2011-08-09,51.614285,53.515713,50.714287,53.430000,47.352654,270645900
2011-08-10,53.021427,53.521427,51.785713,51.955715,46.046055,219664200
2011-08-11,52.931427,53.635715,52.102856,53.385715,47.313396,185492300
2011-08-12,54.009998,54.234287,53.461430,53.855713,47.729946,132244000
2011-08-15,54.232857,54.995716,54.012856,54.772858,48.542774,115136000
2011-08-16,54.502857,54.767143,53.722858,54.354286,48.171803,124687500
2011-08-17,54.615715,54.931427,54.000000,54.348572,48.166737,110515300
2011-08-18,52.977142,53.235714,51.624287,52.292858,46.344841,212858800
2011-08-19,51.738571,52.428570,50.857143,50.861427,45.076233,193972100
2011-08-22,52.072857,52.125713,50.727142,50.919998,45.128136,133828800
2011-08-23,51.471428,53.377144,51.000000,53.371429,47.300732,164208800
2011-08-24,53.352856,54.137142,52.942856,53.740002,47.627384,156566900
2011-08-25,52.154285,53.635715,52.142857,53.388573,47.315933,217836500
2011-08-26,53.024284,54.828571,52.971428,54.797142,48.564278,160369300
2011-08-29,55.454285,55.928570,55.428570,55.709999,49.373310,101317300
2011-08-30,55.464287,55.977142,55.172855,55.712856,49.375832,104480600
2011-08-31,55.795715,56.011429,54.551430,54.975716,48.722553,130646600
2011-09-01,55.117142,55.334286,54.388573,54.432858,48.241428,85931300
2011-09-02,53.534286,54.000000,53.118572,53.435715,47.357708,109734800
2011-09-06,52.481430,54.332859,52.354286,54.248573,48.078106,127424500
2011-09-07,55.080002,55.085712,54.571430,54.847141,48.608597,87644200
2011-09-08,54.628571,55.515713,54.615715,54.877144,48.635189,104039600
2011-09-09,54.847141,55.142857,53.574287,53.925713,47.791973,141203300
2011-09-12,53.285713,54.411430,53.128571,54.277142,48.103428,116958100
2011-09-13,54.591427,55.172855,54.321430,54.945713,48.695946,110140100
2011-09-14,55.288570,56.029999,55.108570,55.614285,49.288483,133681100
2011-09-15,55.918571,56.237144,55.700001,56.137142,49.751865,104454700
2011-09-16,56.505714,57.214287,56.432858,57.214287,50.706490,174628300
